Date,Type,Name,Start,End,Duration
11/14/14,place,Border Cafe,2014-11-14T17:35:48-06:00,2014-11-14T18:45:48-06:00,4200
11/14/14,move,walking,2014-11-14T18:45:48-06:00,2014-11-14T18:57:24-06:00,696
11/14/14,place,Home,2014-11-14T18:57:25-06:00,2014-11-14T20:33:03-06:00,5738
11/14/14,move,transport,2014-11-14T20:33:03-06:00,2014-11-14T20:45:26-06:00,743
11/14/14,place,Kathryn Rathje,2014-11-14T20:45:26-06:00,2014-11-14T23:41:59-06:00,10593
11/14/14,move,transport,2014-11-14T23:41:59-06:00,2014-11-14T23:49:16-06:00,437
11/14/14,place,Hong Kong,2014-11-14T23:49:16-06:00,2014-11-15T00:00:00-06:00,644
11/15/14,place,Hong Kong,2014-11-15T00:00:00-06:00,2014-11-15T01:06:38-06:00,3998
11/15/14,move,walking,2014-11-15T01:06:38-06:00,2014-11-15T01:13:49-06:00,431
11/15/14,place,Place in Old Cambridge,2014-11-15T01:13:48-06:00,2014-11-15T01:19:39-06:00,351
11/15/14,move,walking,2014-11-15T01:19:39-06:00,2014-11-15T01:28:53-06:00,554
11/15/14,place,Home,2014-11-15T01:28:53-06:00,2014-11-15T13:14:30-06:00,42337
11/15/14,move,walking,2014-11-15T13:14:30-06:00,2014-11-15T13:25:07-06:00,637
11/15/14,place,Chameleon Tattoo and Body Piercing,2014-11-15T13:25:07-06:00,2014-11-15T15:32:58-06:00,7671
11/15/14,move,walking,2014-11-15T15:32:58-06:00,2014-11-15T15:41:50-06:00,532
11/15/14,place,Home,2014-11-15T15:41:49-06:00,2014-11-15T17:29:02-06:00,6433
11/15/14,move,walking,2014-11-15T17:29:02-06:00,2014-11-15T17:40:56-06:00,714
11/15/14,place,Home,2014-11-15T17:40:57-06:00,2014-11-15T19:49:38-06:00,7721
11/15/14,move,walking,2014-11-15T19:49:38-06:00,2014-11-15T20:06:15-06:00,997
11/15/14,place,Cole Shelton Home,2014-11-15T20:06:14-06:00,2014-11-15T23:42:23-06:00,12969
11/15/14,move,transport,2014-11-15T23:42:23-06:00,2014-11-15T23:49:19-06:00,416
11/15/14,move,walking,2014-11-15T23:49:18-06:00,2014-11-15T23:53:18-06:00,240
11/15/14,move,transport,2014-11-15T23:53:18-06:00,2014-11-15T23:57:53-06:00,275
11/15/14,place,Home,2014-11-15T23:57:53-06:00,2014-11-16T00:00:00-06:00,127
11/16/14,place,Home,2014-11-16T00:00:00-06:00,2014-11-17T00:00:00-06:00,86400
11/17/14,place,Home,2014-11-17T00:00:00-06:00,2014-11-17T06:32:31-06:00,23551
11/17/14,move,walking,2014-11-17T06:32:31-06:00,2014-11-17T06:54:03-06:00,1292
11/17/14,place,Aldrich Hall,2014-11-17T06:54:03-06:00,2014-11-17T13:51:23-06:00,25040
11/17/14,move,walking,2014-11-17T13:51:23-06:00,2014-11-17T14:12:51-06:00,1288
11/17/14,place,Broadway Marketplace,2014-11-17T14:12:51-06:00,2014-11-17T14:22:13-06:00,562
11/17/14,move,walking,2014-11-17T14:22:13-06:00,2014-11-17T14:26:46-06:00,273
11/17/14,place,Home,2014-11-17T14:26:46-06:00,2014-11-17T14:43:21-06:00,995
11/18/14,place,Spangler Center,2014-11-18T07:00:29-06:00,2014-11-18T08:03:05-06:00,3756
